plitvice	普利特维采湖群	克罗地亚	入口一号炭烤小吃亭	['炭烤香肠夹面包（ćevapi）', '玉米饼']	Closeup_grilled_Serbian_sausages_(49152328346).jpg
plitvice	普利特维采湖群	克罗地亚	Lička Kuća（入口一号对面）	['利卡烤羊肉', '壁炉锅炖土豆（peka）', '利卡酸菜汤']	Janjetina_i_odojak_na_ražnju_u_Novalji.jpg
plitvice	普利特维采湖群	克罗地亚	Restaurant Degenija（Rastovača村）	['烤鳟鱼', '牛肉炖菜（gulaš）', '核桃蛋糕']	Grilled_Trout_Fish_with_roast_potatoes_and_vegetables.JPG
plitvice	普利特维采湖群	克罗地亚	Bistro Vučnica（湖区内）	['烤肠拼盘', '苹果卷（štrudla）']	Closeup_grilled_Serbian_sausages_(49152328346).jpg
prague	布拉格	捷克	瓦茨拉夫广场烤肠摊 (Václavské náměstí klobása)	['炭烤klobása配芥末面包', '热红酒']	Kielbasa.jpg
prague	布拉格	捷克	Naše maso	['现做汉堡', '烤香肠', '鞑靼牛肉']	RedDot_Burger.jpg
prague	布拉格	捷克	Havelská Koruna	['svíčková炖牛肉配面团子', '土豆煎饼', '果馅团子']	Svíčková_na_smetaně.JPG
prague	布拉格	捷克	Lokál Dlouhá	['tank直送皮尔森', '炸奶酪smažený sýr', '烤猪肉配酸菜']	SMAZENY_SYR_2020.jpg
prague	布拉格	捷克	U Kroka	['烤猪肘', '牛肉古拉什配面团子']	Schwein-Eisbein.png
prague	布拉格	捷克	Café Louvre	['维也纳式早餐', '苹果卷strudel', '热巧克力']	Strudel.jpg
pyramids-teotihuacan	特奥蒂瓦坎	墨西哥	遗址2号门外的quesadilla摊群	['蓝玉米quesadilla', 'tlacoyo豆饼', '南瓜花馅饼']	Empanada_flor_de_Calabaza.jpg
pyramids-teotihuacan	特奥蒂瓦坎	墨西哥	San Juan Teotihuacán周末市集的barbacoa棚	['坑烤羊肉taco', '羊肉汤consomé']	Barbacoa_(en_Hidalgo).JPG
pyramids-teotihuacan	特奥蒂瓦坎	墨西哥	Restaurante Techinanco	['barbacoa烤羊', 'carnitas', '仙人掌沙拉']	Barbacoa_(en_Hidalgo).JPG
pyramids-teotihuacan	特奥蒂瓦坎	墨西哥	Gran Teocalli	['mole鸡', 'sopes', '龙舌兰虫盐']	ChickRedMole.JPG
pyramids-teotihuacan	特奥蒂瓦坎	墨西哥	La Gruta	['mixiote纸包羊肉', 'escamoles蚂蚁卵', '玉米浓汤']	RedMixioteTlax.JPG
queenstown	皇后镇	新西兰	Taco Medic	['慢炖牛肉taco', '炸鱼taco']	001_Tacos_de_carnitas,_carne_asada_y_al_pastor.jpg
queenstown	皇后镇	新西兰	Mrs Ferg Gelateria	['麦卢卡蜂蜜gelato', '费约果冰沙']	CafeMia.jpg
queenstown	皇后镇	新西兰	Fergburger	['Ferg Deluxe牛肉堡', 'Sweet Bambi鹿肉堡']	RedDot_Burger.jpg
queenstown	皇后镇	新西兰	The Cow Pizza & Spaghetti House	['石炉披萨', '肉酱意面']	Pizza-3007395.jpg
raja-ampat	拉贾安帕特	印度尼西亚	Tembok Berlin海鲜大排档（索龙滨海路）	['ikan bakar炭烤鱼', '炸香蕉', '参巴酱']	Gurame_bakar_kecap_2.JPG
raja-ampat	拉贾安帕特	印度尼西亚	Waisai码头旁的warung食堂	['nasi campur杂菜饭', 'mie goreng炒面']	Plate_of_nasi_campur_(Mandarin_Oriental_Hotel_Mahapahit,_Surabaya,_Indonesia).png
raja-ampat	拉贾安帕特	印度尼西亚	Yenkoranu Homestay的包餐（Kri岛）	['烤鱼', '炒空心菜kangkung', '木薯和炸香蕉']	Gurame_bakar_kecap_2.JPG
reykjavik	雷克雅未克与冰岛	冰岛	Bæjarins Beztu Pylsur 热狗摊	['羊肉热狗（ein með öllu 全加）']	Bæjarins_beztu_pylsur,_Reykjavík.JPG
reykjavik	雷克雅未克与冰岛	冰岛	Icelandic Street Food	['面包碗羊肉汤', '鱼汤']	Kjötsúpa.JPG
reykjavik	雷克雅未克与冰岛	冰岛	Sægreifinn（海男爵）	['龙虾汤', '现烤鱼串']	Icelandic_lobster_soup._Noa`_restaurant,_Akureyri_(9429477700).jpg
reykjavik	雷克雅未克与冰岛	冰岛	Kaffivagninn（老港）	['炖鱼（plokkfiskur）', '早餐盘']	Plokkfiskur.jpg
rio-de-janeiro	里约热内卢	巴西	Bar do Mineiro（圣特蕾莎）	['feijoada黑豆炖肉', 'pastel炸饺', 'cachaça甘蔗酒']	Feijoada_à_transmontada.jpg
rio-de-janeiro	里约热内卢	巴西	Confeitaria Colombo（市中心1894年老咖啡馆）	['虾仁empada酥盒', 'pastel de nata蛋挞', '巴西咖啡']	Empada_de_camarão.jpg
rio-de-janeiro	里约热内卢	巴西	Aprazível（圣特蕾莎山上）	['moqueca椰香炖鱼', '棕榈心沙拉', 'jabuticaba果汁']	Moqueca.jpg
rome	罗马	意大利	Supplì Roma（特拉斯提弗列）	['经典supplì炸饭团', '西葫芦花炸物']	Supplì.jpg
rome	罗马	意大利	Pizzarium Bonci	['土豆mozzarella方块披萨', '按重量称的时令口味']	Pizza_al_taglio.jpg
rome	罗马	意大利	Giolitti	['开心果gelato', '香缇奶油封顶']	CafeMia.jpg
rome	罗马	意大利	Da Enzo al 29	['carbonara', '炸洋蓟（季节）', '小罐tiramisù']	Espaguetis_carbonara.jpg
rome	罗马	意大利	Felice a Testaccio	['桌边现拌cacio e pepe', '周四gnocchi']	Cacio_e_pepe.jpg
sahara-desert	撒哈拉沙漠	摩洛哥	Hassilabied村的柏柏尔披萨作坊	['Madfouna 柏柏尔披萨']	Medfouna_or_Berber_Pizza_at_a_local_restaurant_near_Merzouga,_Errachidia,_Morocco.jpg
sahara-desert	撒哈拉沙漠	摩洛哥	Chez Julia (梅祖卡村)	['蔬菜古斯古斯', '柏柏尔煎蛋塔吉']	Moroccan_cuscus,_from_Casablanca,_September_2018.jpg
sahara-desert	撒哈拉沙漠	摩洛哥	Café Restaurant Nora	['鸡肉柠檬塔吉锅', '哈利拉浓汤']	Tajine_Moroccan.jpg
sahara-desert	撒哈拉沙漠	摩洛哥	沙漠营地晚餐（含在营地费用里）	['炭火塔吉锅', '哈利拉汤', '现切西瓜']	Tajine_Moroccan.jpg
sahara-desert	撒哈拉沙漠	摩洛哥	豪华营地私享晚宴（如 Merzouga Luxury Desert Camps）	['烤全羊Mechoui', '鸽子肉Pastilla', '沙漠玫瑰甜点']	Mechoui-01.jpg
sahara-star-caravan	撒哈拉星空穿越	阿尔及利亚	贾奈特绿洲市场（Djanet）	['椰枣', '现烤扁面饼', '薄荷茶']	Dates005.jpg
sahara-star-caravan	撒哈拉星空穿越	阿尔及利亚	贾奈特镇小饭馆	['chorba蔬菜浓汤', '库斯库斯配羊肉']	Bean_soup_with_tomatoes_and_red_peppers.jpeg
sahara-star-caravan	撒哈拉星空穿越	阿尔及利亚	驼队营地晚餐（含在穿越费用里）	['塔吉锅炖菜', '沙烤taguella面饼', '三道茶']	Tajine-marocain-un-plat-varie-et-sain_(cropped).jpg
salar-de-uyuni	乌尤尼盐沼	玻利维亚	乌尤尼早市salteña摊	['salteña玻利维亚烤饺', '热api紫玉米饮']	Salteñas_de_Bolivia.jpg
salar-de-uyuni	乌尤尼盐沼	玻利维亚	市场里的anticuchos烤串摊	['羊驼肉串', '烤玉米choclo']	Anticuchos_-_Grilled_Beef_Heart_skewers.jpg
salar-de-uyuni	乌尤尼盐沼	玻利维亚	Minuteman Pizza（Tonito酒店里）	['现烤薄底披萨', '藜麦沙拉', '热巧克力']	Pizza-3007395.jpg
salzburg	萨尔茨堡	奥地利	Balkan Grill Walter	['Bosna香肠卷']	Bosna_mit_2_Bratwürsten.jpg
salzburg	萨尔茨堡	奥地利	Bärenwirt	['炸鸡Backhendl', '烤猪排配酸菜']	Backhendl_Cuisine_of_Austria_IMG_0061.JPG
salzburg	萨尔茨堡	奥地利	Triangel	['牛肉汤饺Frittatensuppe', '烤鹿肉']	Frittatensuppe_Pumpe_Klagenfurt.jpg
salzburg	萨尔茨堡	奥地利	St. Peter Stiftskulinarium	['萨尔茨堡舒芙蕾Nockerl', '炖牛颊肉']	Salzburger_Nockerln_04_gastronomie_001.jpg
san-francisco	旧金山	美国	Mission区深夜热狗摊（bacon-wrapped hot dog）	['培根卷热狗', '烤洋葱辣椒']	Hot_dog_with_mustard.png
san-francisco	旧金山	美国	La Taqueria（Mission街）	['carnitas burrito', 'carne asada taco']	Burrito.JPG
san-francisco	旧金山	美国	Golden Boy Pizza（北滩）	['focaccia厚底方块披萨', '蒜香青酱款']	Focaccia_with_Crumb.jpg
san-francisco	旧金山	美国	House of Prime Rib	['现切prime rib肋排', '约克郡布丁', '旋转沙拉']	Prime_rib_NBSD.jpg
santorini	圣托里尼	希腊	Lucky's Souvlakis（费拉）	['猪肉Gyros卷饼', 'Souvlaki烤肉串']	Pita_giros.JPG
santorini	圣托里尼	希腊	PitoGyros（伊亚）	['鸡肉Pita卷', '希腊沙拉']	Souvlaki_in_Athens.JPG
santorini	圣托里尼	希腊	Metaxi Mas（Exo Gonia村）	['炸番茄丸子', '慢炖羊腿', '圣托里尼蚕豆泥Fava']	Tomato_fritters_of_Santorini_(Tomatokeftedes).jpg
santorini	圣托里尼	希腊	Dimitris Ammoudi Taverna（阿蒙迪湾）	['炭烤章鱼', '柠檬烤鲜鱼']	Octopuses_in_Tsukiji.JPG
scottish-highlands	苏格兰高地	英国	The Real Food Cafe	['炸鳕鱼薯条', '海鲜浓汤']	Fish_and_chips_blackpool.jpg
